speaker,category,audio_path,transcript
solo_speaker_speaker1,solo_speaker,/Users/seouldorito/Desktop/Project /Project-IC-Internship/QuickVoice/inter_app/python-server/asr/training/data/khmer_accent_train/solo_speaker/Speaker1.WAV,girl you already so good at speaking English thanks you you are so sweet I'm still learning but I'm trying my best thanks you for your support me
solo_speaker_speaker10,solo_speaker,/Users/seouldorito/Desktop/Project /Project-IC-Internship/QuickVoice/inter_app/python-server/asr/training/data/khmer_accent_train/solo_speaker/Speaker10.WAV,hello everyone my name is manida I'm 9 years old I'm a student in Grade 3 I'm from Cambodia I study English at Bright LIfe nternational School BIS I study English because it is very important for my job so in the future I want to become a doctor
solo_speaker_speaker11,solo_speaker,/Users/seouldorito/Desktop/Project /Project-IC-Internship/QuickVoice/inter_app/python-server/asr/training/data/khmer_accent_train/solo_speaker/Speaker11.WAV,thank you for listening hello everyone my name is Vireak I study in grade 4 i'm from Cambodia I study English at Bright Life Internet School BIS study English Because it's very important for my job in the future I want to become a pilot thank you
solo_speaker_speaker12,solo_speaker,/Users/seouldorito/Desktop/Project /Project-IC-Internship/QuickVoice/inter_app/python-server/asr/training/data/khmer_accent_train/solo_speaker/Speaker12.WAV,I am 11 years old I am a student in grade 5 and I am from Cambodia I study English and Bright Life international School I study English because it is very important for my job in the future I want to become a teacher so I can help people
solo_speaker_speaker2,solo_speaker,/Users/seouldorito/Desktop/Project /Project-IC-Internship/QuickVoice/inter_app/python-server/asr/training/data/khmer_accent_train/solo_speaker/Speaker2.WAV,"they want uh give me a hard time to think about it just study what I love first of all my name is Liya reaksa I'm in grade 12C from uh Vichea lay Hun San bunrany phsar derm tkov and uh today the exam is really tough and for math I couldn't make it but for the morality and the karma I can do it all a lot for the first day I think it's easy because I the lesson I review it like uh three months uh left and for the today I think it's hard especially math but for uh moral I can manage it this morning I wake up at 4:00am just to review moral and the question is exactly what I review it I'm not I'm not prepared uh since the beginning year I just prepare just like for uh 3 month uh before the matric exam and it was hard but I I think the grade that I want is probably d or C or E as well I think I will get a d because I cannot do math uh for the future I wanna be a designer and uh for the university uh the next major that I wanna do is communication in uh international communication and my parent told me that I I I choose myself what major that I like don't worry about anything that they choose they won't uh give me a hard time to think about it just study what I love because I interested and I think I can uh have a good communication with people around me especially international people beside international communication I have a designer I wanna be a designer I wanna design clothes uh I'm planning to uh get a scholarship from which university I don't know too but right now I want to rest after the exam after the exam I'm planning to going to Cambodia with my family and friends and for to all the backdrops next year 2,027 and all the uh all the juniors uh that will take an exam I hope you prepare since the beginning of the year because I think I regret it because I just start to study since June and right now it's so hard for me especially math you should uh try to do a lot of exercise of math"
solo_speaker_speaker3,solo_speaker,/Users/seouldorito/Desktop/Project /Project-IC-Internship/QuickVoice/inter_app/python-server/asr/training/data/khmer_accent_train/solo_speaker/Speaker3.WAV,do you live dear in Cambodia yes of course I live here in Cambodia because my hometown Cambodia I speak Khmer but I learning English also I hope one day is my English is better my dream speak English well so uh you can collect my English in common hmm sometimes I'm sad but I try to learn English by myself from YouTube TikTok on social media hmm okay bye
solo_speaker_speaker4,solo_speaker,/Users/seouldorito/Desktop/Project /Project-IC-Internship/QuickVoice/inter_app/python-server/asr/training/data/khmer_accent_train/solo_speaker/Speaker4.WAV,keep trying Bong you can do it now we are so proud of you thanks you for you are believing in me I'm not perfect but I won't give up your support make me so happy thank you so much
solo_speaker_speaker5,solo_speaker,/Users/seouldorito/Desktop/Project /Project-IC-Internship/QuickVoice/inter_app/python-server/asr/training/data/khmer_accent_train/solo_speaker/Speaker5.WAV,least proud least brown least proud least brown not perfect yet but at least you are trying I'm proud of you thanks you so much for your comment I'm not yet perfect but I will keep trying and improving everyday your support really mean a lot to me thanks you bye
solo_speaker_speaker6,solo_speaker,/Users/seouldorito/Desktop/Project /Project-IC-Internship/QuickVoice/inter_app/python-server/asr/training/data/khmer_accent_train/solo_speaker/Speaker6.WAV,hello teacher and hi my friend my name is savady am 9 years old I live in kandoul chrum village I study English and writing in Bright Life Internation School Today I am going to talk about my hero my hero is my father my father is my hero because he can do everything for me every time I need help my father always come my father is the best for me thank you very much for listening bye
solo_speaker_speaker7,solo_speaker,/Users/seouldorito/Desktop/Project /Project-IC-Internship/QuickVoice/inter_app/python-server/asr/training/data/khmer_accent_train/solo_speaker/Speaker7.WAV,good morning teacher and classmate my name is watoy Today I'm so excited and today I'm going to be talking about the important of education but before I begin I want to ask you one question do you want to have a good job and good money or not if yes now listen so first education bring your knowledge knowledge is the key to success in life when we have a good knowledge we know what is bad or good to do we will never do what is bad for the society second no like bring you good job when we apply for job we are always ask for our degrees when we have a good degrees like Bachelor Master or doctor we will be firstly selected last education is a key for a country development if our country has a lot of educated people it will be more developed for example America is a developed country because America is the best place for education and has a lot of educated people in short education has three big benefit for people like for no like for job and for country development that's all for today thank you very much for listening goodbye
